2019-08-09 09:04:31,045 [Dummy-6:139709109499648] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:04:31,077 [Dummy-6:139709109499648] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:04:31,078 [Dummy-6:139709109499648] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2019-08-09 09:04:31,081 [Dummy-6:139709109499648] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-08-09 09:04:35,209 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:04:35,210 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT(*) AS `__count` FROM `blog_zan`; args=()
2019-08-09 09:04:35,213 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'sq5r7z0f4otgms0xg29k1hd5s8v1ou22' AND `django_session`.`expire_date` > '2019-08-09 09:04:35.211015'); args=('sq5r7z0f4otgms0xg29k1hd5s8v1ou22', u'2019-08-09 09:04:35.211015')
2019-08-09 09:04:35,217 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2019-08-09 09:04:35,226 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `resource_resource`.`id`, `resource_resource`.`name`, `resource_resource`.`category_id`, `resource_resource`.`link`, `resource_resource`.`add_time` FROM `resource_resource` ORDER BY `resource_resource`.`add_time` DESC; args=()
2019-08-09 09:04:35,248 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`tag`, `blog_tag`.`add_time` FROM `blog_tag` INNER JOIN `resource_resource_tag` ON ( `blog_tag`.`id` = `resource_resource_tag`.`tag_id` ) WHERE `resource_resource_tag`.`resource_id` = 2 ORDER BY `blog_tag`.`add_time` DESC LIMIT 21; args=(2,)
2019-08-09 09:04:35,261 [Thread-7:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_tag`.`id`, `blog_tag`.`tag`, `blog_tag`.`add_time` FROM `blog_tag` INNER JOIN `resource_resource_tag` ON ( `blog_tag`.`id` = `resource_resource_tag`.`tag_id` ) WHERE `resource_resource_tag`.`resource_id` = 1 ORDER BY `blog_tag`.`add_time` DESC LIMIT 21; args=(1,)
2019-08-09 09:08:45,331 [Thread-10:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:08:45,332 [Thread-10:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT(*) AS `__count` FROM `blog_zan`; args=()
2019-08-09 09:08:45,334 [Thread-10:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'sq5r7z0f4otgms0xg29k1hd5s8v1ou22' AND `django_session`.`expire_date` > '2019-08-09 09:08:45.332803'); args=('sq5r7z0f4otgms0xg29k1hd5s8v1ou22', u'2019-08-09 09:08:45.332803')
2019-08-09 09:08:45,335 [Thread-10:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2019-08-09 09:08:45,337 [Thread-10:139709089756928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `resource_resource`.`id`, `resource_resource`.`name`, `resource_resource`.`category_id`, `resource_resource`.`link`, `resource_resource`.`add_time` FROM `resource_resource` ORDER BY `resource_resource`.`add_time` DESC; args=()
2019-08-09 09:08:46,998 [Thread-14:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2019-08-09 09:08:46,999 [Thread-14:139709098149632] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT(*) AS `__count` FROM `blog_zan`; args=()
